id	name	retailprices
SLB	Solomon Islands	"unknown"
168	Macau	"unknown"	not listed
169	Cape Verde	"unknown"	not listed
LUX	Luxembourg	"93"
ESH	Western Sahara	"unknown"
SUR	Suriname	"unknown"
173	Malta	"unknown"	not listed
174	Maldives	"unknown"	not listed
BRN	Brunei	"unknown"
BLZ	Belize	"unknown"
BHS	"Bahamas, The"	"unknown"
ISL	Iceland	"unknown"
179	French Polynesia	"unknown"	not listed
180	Barbados	"unknown"	not listed
181	Mayotte	"unknown"	not listed
NCL	New Caledonia	"unknown"
183	Netherlands Antilles	"unknown"	not listed
VUT	Vanuatu	"unknown"
185	Samoa	"unknown"	not listed
186	Sao Tome and Principe	"unknown"	not listed
187	Saint Lucia	"unknown"	not listed
188	Tonga	"unknown"	not listed
189	Virgin Islands	"unknown"	not listed
190	Grenada	"unknown"	not listed
191	"Micronesia, Federated States of"	"unknown"	not listed
192	Aruba	"unknown"	not listed
193	Saint Vincent and the Grenadines	"unknown"	not listed
194	Kiribati	"unknown"	not listed
195	Jersey	"unknown"	not listed
196	Seychelles	"unknown"	not listed
197	Antigua and Barbuda	"unknown"	not listed
198	Andorra	"unknown"	not listed
199	Isle of Man	"unknown"	not listed
DOM	Dominica	"unknown"
201	Bermuda	"unknown"	not listed
202	American Samoa	"unknown"	not listed
203	Marshall Islands	"unknown"	not listed
204	Guernsey	"unknown"	not listed
GRL	Greenland	"unknown"
206	Cayman Islands	"unknown"	not listed
207	Saint Kitts and Nevis	"unknown"	not listed
208	Faroe Islands	"unknown"	not listed
209	Northern Mariana Islands	"unknown"	not listed
210	Liechtenstein	"unknown"	not listed
211	San Marino	"unknown"	not listed
212	Monaco	"unknown"	not listed
213	Saint Martin	"unknown"	not listed
214	Gibraltar	"unknown"	not listed
215	British Virgin Islands	"unknown"	not listed
216	Turks and Caicos Islands	"unknown"	not listed
217	Palau	"unknown"	not listed
218	Akrotiri	"unknown"	not listed
219	Dhekelia	"unknown"	not listed
220	Wallis and Futuna	"unknown"	not listed
221	Anguilla	"unknown"	not listed
222	Nauru	"unknown"	not listed
223	Cook Islands	"unknown"	not listed
224	Tuvalu	"unknown"	not listed
225	"Saint Helena, Ascension, and Tristan da Cunha"	"unknown"	not listed
226	Saint Barthelemy	"unknown"	not listed
227	Saint Pierre and Miquelon	"unknown"	not listed
228	Montserrat	"unknown"	not listed
FLK	Falkland Islands (Islas Malvinas)	"unknown"
230	Norfolk Island	"unknown"	not listed
231	Svalbard	"unknown"	not listed
232	Christmas Island	"unknown"	not listed
233	Tokelau	"unknown"	not listed
234	Niue	"unknown"	not listed
235	Holy See (Vatican City)	unknown	not listed
236	Cocos (Keeling) Islands	unknown	not listed
237	Pitcairn Islands	unknown	not listed
ATA	Antarctica	unknown
ATF	French Southern and Antarctic Lands	unknown
SDS	South Sudan	"unknown"
ABV	Somaliland	"unknown"
OSA	Kosovo	"unknown"
