"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,"E"
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",95,
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",95,
"FIN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",94,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,"E"
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2016",97,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",89,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",90,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",91,"E"
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",91,
"FRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",90,
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2014",96,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2016",95,"E"
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",97,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",97,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"DEU","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2016",99,
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",97,
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"GRC","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2016",99,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",99,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",99,
"HUN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",99,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2014",90,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2015",92,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2016",91,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2017",89,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",91,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",90,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",93,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",91,
"ISL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2014",96,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2016",95,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2017",95,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",92,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",93,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",93,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",92,
"IRL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2016",93,"E"
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",90,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",87,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",85,
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",85,"E"
"ITA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",92,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2016",99,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",95,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",98,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"JPN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",96,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",98,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",98,
"KOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",98,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2016",99,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",99,
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",99,
"LUX","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",99,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2013",83,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2014",87,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2015",87,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2016",97,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",89,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",98,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",99,
"MEX","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2013",97,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2014",96,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2016",95,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",96,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",96,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",95,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",94,
"NLD","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2013",92,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2014",93,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2015",92,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2016",92,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",92,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",93,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",93,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",92,
"NZL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2013",94,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2014",93,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2016",96,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",93,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",94,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",95,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",96,
"NOR","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2014",98,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"POL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",96,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2013",98,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2014",98,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",98,
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",98,
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",98,
"PRT","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",98,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2013",98,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2014",97,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2016",96,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2017",96,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",95,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",95,
"SVK","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",96,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2014",97,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2016",97,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2017",98,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",95,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",96,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"ESP","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2013",98,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2014",98,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2017",97,
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",97,
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",98,
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"SWE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2014",96,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2016",96,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2017",97,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",93,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",93,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",94,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",94,
"CHE","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",95,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2013",98,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2014",96,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2016",98,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",94,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",97,
"TUR","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",98,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2013",95,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",93,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",93,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",93,
"GBR","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",92,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2013",94,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2016",95,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"USA","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",92,
"USA","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",92,
"USA","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",92,
"USA","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",92,
"USA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",91,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2013",97,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2014",93,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2016",89,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2017",89,
"BRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"BRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"BRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"BRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",95,
"BRA","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",97,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2016",95,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2017",93,
"CHL","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",90,
"CHL","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"CHL","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",96,
"CHL","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",93,
"CHL","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2013",99,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2014",99,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2016",99,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2017",99,
"CHN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",99,
"CHN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",99,
"CHN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",99,
"CHN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",99,
"CHN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",99,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2013",94,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2014",93,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2016",93,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2017",93,
"EST","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",94,
"EST","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",93,
"EST","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",93,
"EST","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",93,
"EST","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93,
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2013",83,
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2014",85,"E"
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2015",87,
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2016",88,
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2017",88,
"IND","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",83,
"IND","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",85,"E"
"IND","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",87,
"IND","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",88,
"IND","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",88,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2013",86,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2015",84,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2016",84,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2017",85,
"IDN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",89,
"IDN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",95,
"IDN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",87,
"IDN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",88,
"IDN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",90,
"ISR","CHILDVACCIN","DTP","PC_CHILD","A","2013",96,
"ISR","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"ISR","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"ISR","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"ISR","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"ISR","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",97,
"ISR","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",98,
"ISR","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",97,
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2013",97,
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2014",97,
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2016",97,
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2017",97,
"RUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",98,
"RUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",98,
"RUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",98,
"RUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",98,
"RUS","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",98,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2013",95,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2016",94,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2017",94,
"SVN","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",94,
"SVN","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",94,
"SVN","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",94,
"SVN","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",92,
"SVN","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",93,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2014",95,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2016",84,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2017",84,
"ZAF","CHILDVACCIN","MEASLES","PC_CHILD","A","2013",87,
"ZAF","CHILDVACCIN","MEASLES","PC_CHILD","A","2014",92,
"ZAF","CHILDVACCIN","MEASLES","PC_CHILD","A","2015",97,
"ZAF","CHILDVACCIN","MEASLES","PC_CHILD","A","2016",96,
"ZAF","CHILDVACCIN","MEASLES","PC_CHILD","A","2017",81,
"COL","CHILDVACCIN","DTP","PC_CHILD","A","2013",91,
