"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","OVEROBESE","MEASURED","PC_POP15","A","2017",66.6,"E"
"NOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",46,
"POL","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",53.3,
"PRT","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52.8,
"SVK","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",54.2,
"ESP","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",51.5,
"SWE","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",46.9,
"SWE","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.5,
"SWE","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",48.3,
"SWE","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",48.8,
"GBR","OVEROBESE","MEASURED","PC_POP15","A","2013",62.1,
"GBR","OVEROBESE","MEASURED","PC_POP15","A","2014",61.7,
"GBR","OVEROBESE","MEASURED","PC_POP15","A","2015",62.9,
"GBR","OVEROBESE","MEASURED","PC_POP15","A","2016",61.4,
"USA","OVEROBESE","MEASURED","PC_POP15","A","2014",70.1,
"USA","OVEROBESE","MEASURED","PC_POP15","A","2016",71,
"USA","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",63.2,
"USA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",64.3,
"USA","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",63.8,
"USA","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",65.1,
"CHL","OVEROBESE","MEASURED","PC_POP15","A","2016",74.2,
"CHL","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",48.3,
"EST","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52,
"EST","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",51.7,
"ISR","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",51.8,
"ISR","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",54.5,
"ISR","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",53.1,"B"
"ISR","OVEROBESE","SELFREPORTED","PC_POP15","A","2017",49.3,
"SVN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",55.6,
"DNK","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",47.4,
"DNK","OVEROBESE","SELFREPORTED","PC_POP15","A","2017",51,
"ISR","OVEROBESE","MEASURED","PC_POP15","A","2015",50.9,
"TUR","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",53.6,
"TUR","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",53.9,
"TUR","OVEROBESE","MEASURED","PC_POP15","A","2017",64.4,
"BEL","OVEROBESE","MEASURED","PC_POP15","A","2014",51,
"FRA","OVEROBESE","MEASURED","PC_POP15","A","2015",49,
"LUX","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",48,"D"
"EST","OVEROBESE","MEASURED","PC_POP15","A","2014",51.3,
"LVA","OVEROBESE","MEASURED","PC_POP15","A","2014",54.6,
"LVA","OVEROBESE","MEASURED","PC_POP15","A","2016",54.6,
"LVA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52,
"PRT","OVEROBESE","MEASURED","PC_POP15","A","2015",67.6,
"IDN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",25,
